sample,M1 D,F2 D,F3 D,F1 D,M3 D,M2 D,M1 P,M2 P,F1 P,M3 P,F3 P,F2 P
Label,D,D,D,D,D,D,P,P,P,P,P,P
Azelaic Acid ,3.490302588,3.662406146,3.35251606,3.4544054,3.533295946,3.385024956,3.375983897,3.603409702,3.587000386,3.69616041,3.671925843,3.346148867
Glucoronate ,1.597568735,0.879868105,1.313020141,1.332711173,1.105485397,1.093994361,1.286419007,1.167903151,1.397028023,1.266680795,1.427864341,1.492316736
Xanthurenate ,2.249156463,2.465253219,2.318531345,2.292964136,2.418269819,2.363333795,2.102227506,2.150886613,2.158861402,2.187499509,2.072022112,2.073067014
Pentothenate ,2.829218556,2.463657402,2.593681447,2.739848439,2.385273981,2.396430739,2.956149252,2.825125378,2.910176691,2.705688426,3.171030272,3.178883024
Cystathionine ,2.243487675,1.704211175,2.313949614,1.714787771,2.341564912,2.451847782,2.474262704,2.137223374,2.01062239,2.054826259,2.057012421,1.785279278
Ribose-5-P ,2.56157206,2.21470605,2.379035974,2.624515153,2.430507274,2.558438772,2.57911905,2.657774577,2.581841769,2.306513824,2.563972213,2.565977408
Melatonin ,0.590790375,0.752608423,0.65560272,0.640332649,0.748411092,0.691144398,0.418944879,0.509451143,0.519900116,0.577175511,0.438099123,0.45496023
Biotin ,2.45300339,2.11121556,2.378007248,2.465229807,2.422923935,2.458240406,2.531685735,2.488456304,2.424780102,2.324553489,2.407755532,2.477458927
Pyridoxal-5-P ,0.252519351,0.414335624,0.317330824,0.302060935,0.410138324,0.352872124,0.08067793,0.171181654,0.181630396,0.238904706,0.099831545,0.116692143
G1P/G6P/F6P/F1P ,2.816113871,2.872550402,2.908179374,2.704937079,2.762950037,2.921793048,3.081993161,2.854237876,2.869826973,2.860194148,2.869639978,3.013289138
Margaric Acid ,1.974012507,2.033401028,2.056744026,1.963065345,2.013324455,2.039935958,1.786846821,1.843256401,1.862202559,1.917123656,1.791610505,1.798558032
Linoleic Acid ,0.156093383,0.317908398,0.220904239,0.205634479,0.313711121,0.25644527,-0.015745152,0.074756772,0.085205351,0.142478892,0.003408017,0.020268254
Xanthosine ,2.396276887,1.979078439,2.286742345,2.372681747,2.271985617,2.3421984,2.462448093,2.563439024,2.351779286,2.305880632,2.301773086,2.33565956
13-HODE ,2.033400857,2.185931626,1.96536265,2.038063744,2.088197969,2.003415341,1.852863761,2.130495231,1.905498996,2.100797827,1.968157278,1.898268928
Reduced glutathione ,2.477972481,2.343467609,2.377042297,2.444519697,2.325860439,2.388382243,2.640225422,2.573021213,2.811945174,2.496503227,2.793119822,2.908266332
N-Acetylneuraminate ,1.702190811,1.163714718,1.504826293,1.5354414,1.532382095,1.489242242,1.712403594,1.820318294,1.684933233,1.584516988,1.644658104,1.782715536
DTMP ,1.701749703,1.93850762,1.80403921,1.784684864,1.812990021,1.778317663,1.579782855,1.596304252,1.621037564,1.704729358,1.567900173,1.637854679
CMP ,1.882548417,1.749262183,1.906708459,1.746919375,1.802573752,1.859942821,1.873119615,1.462481682,1.583676983,1.433859882,1.751057887,1.744100814
Sucrose ,2.068471498,2.449314753,1.918296284,2.476006436,1.942549657,1.843420158,1.546097947,2.025199088,1.921888183,2.179420536,1.946227042,1.949556429
AMP ,2.507766472,2.842562306,2.722051977,2.478059954,2.415052812,2.45777443,3.132317235,2.342314287,2.757961904,2.960558077,2.776797274,3.019493463
IMP ,3.741016212,3.561023369,3.706766438,3.682565026,3.598568424,3.710005987,3.681207844,3.135115571,3.587681567,3.348279618,3.710760536,3.71377826
UDP ,1.615395034,1.489222582,1.571297344,1.558949169,1.480916585,1.579102427,1.873262227,1.593305206,1.613196073,1.479553669,1.64668437,1.725281395
ADP ,1.201082574,1.079966106,1.138064079,1.151459368,1.120156429,1.101067665,1.330578589,1.109977321,1.165469774,1.209657234,1.266132455,1.279399076
GDP ,1.243654402,0.913148026,1.148057058,1.007890122,0.962642612,1.047406008,1.459054543,1.071428535,1.045094976,0.907497923,1.317588548,1.210366422
Glycochenodeoxycholate ,1.625646605,1.787465122,1.690459181,1.675189061,1.783267783,1.726000959,1.45380003,1.544306966,1.554756001,1.612031683,1.472954441,1.489815683
Adenylosuccinate ,0.89965046,0.637790268,0.728270465,0.779405888,0.740566375,0.797835421,1.02409338,0.795112983,0.96526889,0.953265102,1.036793238,1.041098513
Glycocholate ,0.855405138,1.017223519,0.920217647,0.904947541,1.013026183,0.955759396,0.683558876,0.774065617,0.784514634,0.841790233,0.702713238,0.719574441
Oxidized glutathione ,2.242937977,1.946230862,2.11211773,2.15019437,2.054826755,2.083910871,2.542349172,2.288356694,2.175278792,2.108482633,2.106836011,2.162096499
